Date,Symbol,Marketcapname,Sector
13-07-2026,DALMIASUG,Smallcap,FMCG
31-05-2023,BIL,Smallcap,Consumer Discretionary
29-12-2022,SURYODAY,Smallcap,Bank
01-09-2023,COALINDIA,Largecap,Metals & Mining
23-07-2026,CARERATING,Midcap,Financials
02-12-2021,63MOONS,Smallcap,I.T
17-11-2022,TECHNOE,Midcap,Realty
01-01-2020,INDRAMEDCO,Smallcap,Healthcare
29-11-2022,LUPIN,Largecap,Healthcare
24-04-2024,BECTORFOOD,Midcap,FMCG
20-05-2019,INTELLECT,Midcap,I.T
05-06-2024,CHOLAFIN,Largecap,Financials
02-05-2024,SILVERTUC,Smallcap,I.T
06-08-2020,NIITLTD,Smallcap,I.T
01-11-2018,APOLLOHOSP,Largecap,Healthcare
08-03-2019,INGERRAND,Midcap,Industrials
08-04-2021,INDOCO,Smallcap,Healthcare
17-01-2019,MAHASTEEL,Smallcap,Metals & Mining
07-07-2025,FLAIR,Smallcap,Miscellaneous
06-07-2026,GRAVITA,Midcap,Metals & Mining
22-06-2020,STYRENIX,Smallcap,Energy
11-09-2019,BFINVEST,Smallcap,Financials
06-03-2023,NSIL,Smallcap,Financials
30-01-2024,MSUMI,Largecap,Auto
05-11-2020,HINDALCO,Largecap,Metals & Mining
13-11-2025,AETHER,Midcap,Chemicals
03-06-2024,PRAJIND,Midcap,Industrials
01-06-2023,KENNAMET,Midcap,Industrials
26-07-2024,CREST,Smallcap,Financials
05-07-2022,FLUOROCHEM,Largecap,Chemicals
27-05-2021,CANTABIL,Smallcap,Textiles
03-05-2021,VENKEYS,Smallcap,FMCG
21-07-2023,OIL,Largecap,Energy
07-10-2021,AAVAS,Midcap,Financials
13-06-2023,GEOJITFSL,Smallcap,Financials
27-04-2021,KIOCL,Largecap,Metals & Mining
05-07-2022,ADOR,Smallcap,Industrials
12-10-2018,TIIL,Midcap,Metals & Mining
15-10-2019,BFUTILITIE,Smallcap,Power & Utilities
06-08-2024,BLS,Midcap,I.T
22-02-2019,PFIZER,Largecap,Healthcare
21-06-2024,POCL,Smallcap,Metals & Mining
02-06-2021,GOCLCORP,Smallcap,Miscellaneous
26-05-2023,PSPPROJECT,Smallcap,Realty
02-05-2023,THERMAX,Largecap,Industrials
16-02-2023,FOSECOIND,Smallcap,Chemicals
02-11-2022,JAGRAN,Smallcap,Media
08-03-2021,VISHNU,Smallcap,Chemicals
01-11-2018,EIHOTEL,Largecap,Services
02-11-2023,CARYSIL,Smallcap,Consumer Discretionary
01-01-2025,EICHERMOT,Largecap,Auto
24-04-2023,ANUP,Smallcap,Industrials
11-06-2024,MTNL,Smallcap,Telecom
02-12-2020,TI,Midcap,FMCG
15-05-2024,TEXRAIL,Smallcap,Industrials
16-09-2025,MINDACORP,Midcap,Auto
24-11-2020,GHCL,Smallcap,Chemicals
24-06-2025,MUKANDLTD,Smallcap,Metals & Mining
27-05-2025,SMLMAH,Midcap,Auto
16-09-2024,ARIHANTSUP,Smallcap,Realty
14-09-2020,TIRUMALCHM,Smallcap,Chemicals
20-05-2019,TEXRAIL,Smallcap,Industrials
07-12-2021,SIEMENS,Largecap,Industrials
06-07-2021,FORCEMOT,Largecap,Auto
10-11-2020,FLUOROCHEM,Largecap,Chemicals
28-12-2021,JAGSNPHARM,Smallcap,Healthcare
02-07-2026,NDRAUTO,Smallcap,Auto
26-11-2020,GREENLAM,Midcap,Building Materials
02-03-2023,360ONE,Largecap,Financials
15-12-2023,ALLCARGO,Smallcap,Transportation
01-11-2022,HUDCO,Largecap,Financials
01-02-2021,PSPPROJECT,Smallcap,Realty
29-04-2024,KEC,Midcap,Realty
14-11-2020,KPIL,Largecap,Realty
06-10-2025,BSE,Largecap,Financials
29-03-2023,NITINSPIN,Smallcap,Textiles
20-09-2021,TAJGVK,Smallcap,Services
28-12-2021,TARIL,Midcap,Industrials
27-07-2022,SUNPHARMA,Largecap,Healthcare
09-07-2024,CCL,Midcap,FMCG
18-11-2020,PRAJIND,Midcap,Industrials
05-07-2023,CESC,Largecap,Power & Utilities
12-12-2018,INDIANHUME,Smallcap,Realty
14-01-2020,CROMPTON,Midcap,Consumer Discretionary
11-01-2021,APARINDS,Largecap,Industrials
01-10-2025,ONGC,Largecap,Energy
15-05-2020,GARFIBRES,Midcap,Textiles
12-05-2025,RAMRAT,Smallcap,Metals & Mining
08-03-2021,AURIONPRO,Smallcap,I.T
28-07-2020,INFOBEAN,Smallcap,I.T
24-08-2020,AVTNPL,Smallcap,FMCG
27-09-2021,SHOPERSTOP,Smallcap,Consumer Discretionary
09-05-2025,WINDMACHIN,Smallcap,Industrials
11-07-2023,GANDHITUBE,Smallcap,Metals & Mining
01-07-2024,GREAVESCOT,Midcap,Industrials
01-07-2024,FAZE3Q,Smallcap,Textiles
12-09-2022,EIDPARRY,Midcap,FMCG
05-05-2021,ALKEM,Largecap,Healthcare
06-10-2022,RBLBANK,Largecap,Bank
10-06-2024,PRECWIRE,Midcap,Metals & Mining
29-11-2023,POWERMECH,Midcap,Realty
27-12-2019,RHIM,Midcap,Building Materials
30-09-2020,TRENT,Largecap,Consumer Discretionary
14-01-2020,SFL,Midcap,Consumer Discretionary
02-05-2023,MAXHEALTH,Largecap,Healthcare
09-05-2025,NDRAUTO,Smallcap,Auto
24-06-2022,IMAGICAA,Smallcap,Media
16-08-2023,ATULAUTO,Smallcap,Auto
18-05-2021,SCHNEIDER,Largecap,Industrials
26-08-2019,SUNTECK,Smallcap,Realty
02-12-2020,ASIANHOTNR,Smallcap,Services
01-12-2020,SIMPLEXINF,Smallcap,Realty
17-11-2020,CEMPRO,Largecap,Realty
06-06-2024,GIPCL,Smallcap,Power & Utilities
14-01-2022,EIDPARRY,Midcap,FMCG
09-07-2020,EPL,Midcap,Industrials
19-02-2024,INDIANHUME,Smallcap,Realty
16-06-2023,KSL,Smallcap,Metals & Mining
22-05-2023,MUTHOOTFIN,Largecap,Financials
16-11-2018,INDHOTEL,Largecap,Services
13-09-2023,METROPOLIS,Midcap,Healthcare
16-09-2024,KPRMILL,Largecap,Consumer Discretionary
30-01-2025,UPL,Largecap,Chemicals
20-05-2019,SOLARINDS,Largecap,Aerospace & Defence
21-05-2021,BPCL,Largecap,Energy
07-10-2025,REPCOHOME,Smallcap,Financials
14-01-2020,TATAINVEST,Largecap,Financials
02-12-2019,PRESTIGE,Largecap,Realty
11-09-2019,GODREJPROP,Largecap,Realty
01-06-2020,ALEMBICLTD,Smallcap,Realty
03-04-2023,ASHOKA,Smallcap,Realty
18-08-2025,ZFCVINDIA,Largecap,Auto
12-07-2022,ITI,Largecap,Aerospace & Defence
04-07-2022,ABB,Largecap,Industrials
08-05-2023,SOMANYCERA,Smallcap,Building Materials
17-06-2020,NACLIND,Midcap/Midcap/Midcap/Smallcap/Smallcap,Chemicals
20-12-2019,JSL,Largecap,Metals & Mining
03-09-2025,JINDALSTEL,Largecap,Metals & Mining
22-08-2023,FEDERALBNK,Largecap,Bank
20-05-2019,GANDHITUBE,Smallcap,Metals & Mining
29-09-2020,NH,Largecap,Healthcare
06-02-2019,SRF,Largecap,Chemicals
20-02-2024,SUNDROP,Smallcap,FMCG
02-01-2019,CHAMBLFERT,Midcap,Chemicals
15-09-2025,WHEELS,Smallcap,Auto
28-10-2025,BHEL,Largecap,Industrials
03-11-2025,3MINDIA,Largecap,Miscellaneous
13-07-2026,MUKANDLTD,Smallcap,Metals & Mining
01-12-2020,ICRA,Midcap/Midcap/Midcap/Smallcap/Smallcap,Financials
31-10-2023,GALAXYSURF,Midcap,Chemicals
17-11-2020,AYMSYNTEX,Smallcap,Textiles
23-05-2019,AGI,Smallcap,Industrials
30-10-2023,TEXINFRA,Smallcap,Realty
06-06-2025,CHOLAHLDNG,Largecap,Financials
19-08-2019,MOLDTKPAC,Smallcap,Industrials
11-10-2021,CENTUM,Midcap,Consumer Discretionary
22-03-2024,DEEPINDS,Smallcap,Energy
01-11-2019,INDRAMEDCO,Smallcap,Healthcare
27-06-2024,FSL,Midcap,I.T
