Date,Symbol,Marketcapname,Sector
17-06-2020,ITI,Largecap,Aerospace & Defence
12-06-2024,PRIVISCL,Midcap,Chemicals
05-05-2023,JYOTHYLAB,Midcap,FMCG
20-11-2020,PRAJIND,Midcap,Industrials
27-11-2019,RATNAMANI,Midcap,Industrials
24-09-2024,GRINFRA,Midcap,Realty
10-11-2025,AQYLON,Smallcap,Media
05-06-2020,HATSUN,Largecap/Midcap,FMCG
06-09-2021,JINDWORLD,Smallcap,Textiles
30-05-2025,PUNJABCHEM,Smallcap,Chemicals
13-06-2024,ELGIEQUIP,Midcap,Industrials
10-04-2024,NSLNISP,Midcap,Metals & Mining
22-04-2024,ITI,Largecap,Aerospace & Defence
19-02-2024,MOL,Smallcap,Chemicals
20-01-2025,KOTAKBANK,Largecap,Bank
21-03-2023,MANAPPURAM,Largecap,Financials
07-03-2025,JINDRILL,Smallcap,Energy
01-09-2022,SIRCA,Smallcap,Building Materials
20-10-2025,PVRINOX,Midcap,Media
17-07-2025,STARCEMENT,Midcap,Building Materials
20-09-2021,PVRINOX,Midcap,Media
02-11-2020,PNBGILTS,Smallcap,Financials
06-08-2020,NIITLTD,Smallcap,I.T
17-11-2022,HONAUT,Largecap,Consumer Discretionary
26-08-2019,RELAXO,Midcap,Consumer Discretionary
23-10-2019,MPSLTD,Smallcap,I.T
23-11-2022,GMRAIRPORT,Largecap,Miscellaneous
05-11-2020,AJMERA,Smallcap,Realty
26-07-2024,ZAGGLE,Smallcap,I.T
12-10-2023,SMCGLOBAL,Smallcap,Financials
19-02-2019,TFCILTD,Smallcap,Financials
14-01-2020,BRITANNIA,Largecap,FMCG
12-04-2019,ASTRAL,Largecap,Plastic products
20-05-2019,GANDHITUBE,Smallcap,Metals & Mining
15-02-2021,TRENT,Largecap,Consumer Discretionary
29-08-2023,AMBIKCO,Smallcap,Textiles
05-10-2021,PAGEIND,Largecap,Consumer Discretionary
01-02-2021,BANKINDIA,Largecap,Bank
06-07-2023,JAMNAAUTO,Midcap,Auto
06-12-2023,ICRA,Midcap/Midcap/Midcap/Smallcap/Smallcap,Financials
14-10-2020,RENUKA,Smallcap,FMCG
31-01-2019,DABUR,Largecap,FMCG
06-02-2019,PRIVISCL,Midcap,Chemicals
14-05-2025,RAYMOND,Smallcap,Transportation
25-09-2023,APOLLOHOSP,Largecap,Healthcare
08-06-2021,SKIPPER,Midcap,Industrials
02-08-2022,POWERINDIA,Largecap,Industrials
22-06-2020,XPROINDIA,Smallcap,Industrials
04-04-2024,SURYODAY,Smallcap,Bank
26-12-2024,CAMPUS,Midcap,Consumer Discretionary
23-04-2024,LUXIND,Smallcap,Textiles
21-08-2020,NELCAST,Smallcap,Industrials
29-01-2020,JAIBALAJI,Midcap,Metals & Mining
19-08-2024,AARTIDRUGS,Smallcap,Healthcare
17-11-2020,CEMPRO,Largecap,Realty
04-07-2022,TRENT,Largecap,Consumer Discretionary
13-05-2025,TDPOWERSYS,Midcap,Industrials
28-12-2020,INFOBEAN,Smallcap,I.T
21-05-2021,BANKBARODA,Largecap,Bank
01-04-2024,HINDZINC,Largecap,Metals & Mining
08-03-2022,SDBL,Smallcap,FMCG
27-03-2023,DRREDDY,Largecap,Healthcare
21-05-2021,HDFCBANK,Largecap,Bank
23-05-2025,STEELCAS,Smallcap,Industrials
11-11-2022,SAKSOFT,Smallcap,I.T
04-07-2023,PETRONET,Largecap,Energy
30-01-2019,VBL,Largecap,FMCG
25-07-2024,VIMTALABS,Smallcap,Healthcare
17-12-2020,SIRCA,Smallcap,Building Materials
11-11-2025,ESABINDIA,Midcap,Industrials
11-05-2021,VEEDOL,Smallcap,Chemicals
10-05-2021,BALMLAWRIE,Smallcap,Miscellaneous
06-10-2022,RAILTEL,Midcap,Transportation
31-01-2024,SHILPAMED,Midcap,Healthcare
19-09-2025,DIACABS,Midcap,Industrials
12-12-2022,SJS,Midcap,Auto
17-10-2022,PNB,Largecap,Bank
25-11-2021,AFFLE,Largecap,I.T
29-09-2020,NH,Largecap,Healthcare
24-04-2024,JINDALSAW,Midcap,Industrials
05-03-2019,HCC,Midcap,Realty
10-06-2024,FINEORG,Midcap,Chemicals
26-11-2024,KCP,Smallcap,Building Materials
26-07-2024,RENUKA,Smallcap,FMCG
11-07-2024,PCBL,Midcap,Chemicals
02-03-2022,MAITHANALL,Smallcap,Metals & Mining
03-07-2023,KPIL,Largecap,Realty
04-10-2022,HFCL,Largecap,Telecom
03-08-2020,TMPV,Largecap,Auto
05-08-2020,TEAMLEASE,Smallcap,Miscellaneous
31-07-2025,HINDUNILVR,Largecap,FMCG
03-03-2022,SPLPETRO,Midcap,Energy
14-12-2023,CASTROLIND,Midcap,Chemicals
30-09-2025,NATIONALUM,Largecap,Metals & Mining
02-01-2019,CHAMBLFERT,Midcap,Chemicals
10-06-2020,UNICHEMLAB,Smallcap,Healthcare
08-09-2022,SUNDRMFAST,Largecap/Largecap/Largecap/Largecap/Midcap,Auto
18-12-2023,FINEORG,Midcap,Chemicals
24-06-2024,BAJAJHLDNG,Largecap,Financials
26-08-2019,DMART,Largecap,Consumer Discretionary
21-02-2024,SURYODAY,Smallcap,Bank
03-06-2020,HATSUN,Largecap/Midcap,FMCG
24-04-2023,CENTRALBK,Largecap,Bank
07-08-2023,SOLARINDS,Largecap,Aerospace & Defence
22-04-2024,VINDHYATEL,Smallcap,Realty
23-05-2019,TDPOWERSYS,Midcap,Industrials
09-05-2025,KSB,Midcap,Industrials
02-07-2024,TATACONSUM,Largecap,FMCG
19-06-2023,VIYASH,Midcap,Healthcare
03-06-2021,EIMCOELECO,Smallcap,Industrials
04-09-2024,ASAHIINDIA,Largecap,Building Materials
03-04-2023,CSBBANK,Midcap,Bank
07-12-2021,GUFICBIO,Smallcap,Healthcare
26-04-2021,SIGMAADV,Midcap,Aerospace & Defence
19-06-2023,ARE&M,Midcap,Auto
15-05-2020,MCX,Largecap,Financials
16-05-2025,SUDARSCHEM,Midcap,Chemicals
15-07-2025,HCG,Midcap,Healthcare
18-09-2025,MUTHOOTMF,Smallcap,Financials
05-09-2024,PVRINOX,Midcap,Media
24-03-2022,NMDC,Largecap,Metals & Mining
18-05-2020,ZFCVINDIA,Largecap,Auto
17-11-2020,CREDITACC,Largecap,Financials
10-06-2024,AETHER,Midcap,Chemicals
24-10-2019,HCLTECH,Largecap,I.T
22-04-2024,ADVENZYMES,Smallcap,Healthcare
21-07-2022,MMFL,Smallcap,Industrials
05-12-2023,SUNFLAG,Midcap,Metals & Mining
03-12-2020,ARIHANT,Smallcap,Realty
04-08-2020,MAHASTEEL,Smallcap,Metals & Mining
06-11-2020,FACT,Largecap,Chemicals
23-05-2022,AIAENG,Largecap,Industrials
05-06-2023,KPRMILL,Largecap,Consumer Discretionary
20-08-2020,EXCELINDUS,Smallcap,Chemicals
27-08-2019,SOLARA,Smallcap,Healthcare
02-01-2020,RIIL,Smallcap,Transportation
20-09-2019,ALLDIGI,Smallcap,I.T
09-09-2019,CONCOR,Largecap,Transportation
14-11-2024,MEDPLUS,Midcap,Consumer Discretionary
21-04-2022,HBLENGINE,Largecap/Midcap,Auto
24-08-2022,SALASAR,Smallcap,Metals & Mining
02-09-2025,IFBIND,Midcap,Consumer Discretionary
03-09-2025,JSWSTEEL,Largecap,Metals & Mining
16-03-2022,INTELLECT,Midcap,I.T
21-06-2022,ASHOKLEY,Largecap,Auto
18-10-2022,GOKULAGRO,Midcap,FMCG
05-11-2020,LTF,Largecap,Financials
09-08-2023,HONDAPOWER,Smallcap,Industrials
24-06-2025,J&KBANK,Largecap/Midcap/Largecap/Midcap/Midcap/Midcap,Bank
25-10-2022,UNITDSPR,Largecap,FMCG
08-12-2021,SPIC,Smallcap,Chemicals
20-09-2022,SUNPHARMA,Largecap,Healthcare
27-10-2020,CHOLAFIN,Largecap,Financials
22-12-2023,PRINCEPIPE,Smallcap,Plastic products
17-11-2023,IRCTC,Largecap,Transportation
02-05-2024,SILVERTUC,Smallcap,I.T
24-12-2020,TDPOWERSYS,Midcap,Industrials
01-06-2020,ONIDA,Smallcap,Consumer Discretionary
06-10-2022,GRAVITA,Midcap,Metals & Mining
06-04-2021,FINEORG,Midcap,Chemicals
12-07-2019,ZYDUSWELL,Midcap,FMCG
26-08-2019,SUNTECK,Smallcap,Realty
12-12-2024,STARCEMENT,Midcap,Building Materials
03-04-2023,WELSPUNLIV,Midcap,Textiles
17-08-2020,VINDHYATEL,Smallcap,Realty
13-07-2022,INGERRAND,Midcap,Industrials
05-11-2024,IMFA,Midcap,Metals & Mining
26-04-2023,DATAMATICS,Midcap/Smallcap/Smallcap,I.T
16-02-2021,CENTRALBK,Largecap,Bank
01-10-2020,QUESS,Smallcap,Miscellaneous
20-01-2025,UBL,Largecap,FMCG
22-10-2020,KCP,Smallcap,Building Materials
30-06-2023,VISHNU,Smallcap,Chemicals
18-08-2020,JISLJALEQS,Smallcap,Plastic products
30-06-2023,PRSMJOHNSN,Midcap,Building Materials
22-12-2021,GUFICBIO,Smallcap,Healthcare
19-06-2024,OMAXE,Smallcap,Realty
24-06-2025,MUKANDLTD,Smallcap,Metals & Mining
22-07-2019,ASIANPAINT,Largecap,Building Materials
11-05-2023,PRAKASH,Smallcap,Metals & Mining
